RUN	STATISTIC	VALUE
020	time_input	3.50261
020	time_solve	1011.66
020	compression_ratio	0.0999069
021	L_final	323.272
021	lanczos_mean	11.078
021	lanczos_min	6
021	lanczos_max	312
021	lanczos_mean_converged	0
021	lanczos_min_converged	0
021	lanczos_max_converged	0
021	time_input	2.94875
021	time_solve	1098.82
021	compression_ratio	0.0999069
022	iterations	70
022	L_final	364.847
022	lanczos_mean	8.40317
022	lanczos_min	7
022	lanczos_max	10
022	lanczos_mean_converged	302.5
022	lanczos_min_converged	291
022	lanczos_max_converged	313
022	time_input	2.75262
022	time_solve	968.304
022	compression_ratio	0.0999069
023	L_final	321.226
023	lanczos_mean	11.1819
023	lanczos_min	6
023	lanczos_max	309
023	lanczos_mean_converged	0
023	lanczos_min_converged	0
023	lanczos_max_converged	0
023	time_input	3.02539
023	time_solve	1122.33
023	compression_ratio	0.0999069
024	L_final	339.414
024	lanczos_mean	11.2822
024	lanczos_min	6
024	lanczos_max	309
024	lanczos_mean_converged	0
024	lanczos_min_converged	0
024	lanczos_max_converged	0
024	time_input	2.87674
024	time_solve	1074.02
024	compression_ratio	0.0999069
025	L_final	349.607
025	lanczos_mean	11.4629
025	lanczos_min	7
025	lanczos_max	313
025	lanczos_mean_converged	0
025	lanczos_min_converged	0
025	lanczos_max_converged	0
025	time_input	2.95279
025	time_solve	1111.14
025	compression_ratio	0.0999069
026	iterations	75
026	L_final	370.577
026	lanczos_mean	8.29934
026	lanczos_min	7
026	lanczos_max	11
026	lanczos_mean_converged	304.5
026	lanczos_min_converged	295
026	lanczos_max_converged	312
026	time_input	3.00576
026	time_solve	951.491
026	compression_ratio	0.0999069
027	iterations	78
027	L_final	360.186
027	lanczos_mean	8.17722
027	lanczos_min	6
027	lanczos_max	10
027	lanczos_mean_converged	305.125
027	lanczos_min_converged	297
027	lanczos_max_converged	312
027	time_input	3.02271
027	time_solve	996.518
027	compression_ratio	0.0999069
028	iterations	55
028	L_final	345.841
028	lanczos_mean	8.43527
028	lanczos_min	6
028	lanczos_max	10
028	lanczos_mean_converged	304
028	lanczos_min_converged	297
028	lanczos_max_converged	309
028	time_input	3.16495
028	time_solve	943.497
028	compression_ratio	0.0999069
029	iterations	71
029	L_final	381.882
029	lanczos_mean	7.81771
029	lanczos_min	6
029	lanczos_max	10
029	lanczos_mean_converged	305.5
029	lanczos_min_converged	298
029	lanczos_max_converged	310
029	time_input	3.29861
029	time_solve	966.924
029	compression_ratio	0.0999069
030	L_final	340.58
030	lanczos_mean	11.3936
030	lanczos_min	6
030	lanczos_max	311
030	lanczos_mean_converged	0
030	lanczos_min_converged	0
030	lanczos_max_converged	0
030	time_input	3.15569
030	time_solve	1059.96
030	compression_ratio	0.0999069
031	L_final	340.931
031	lanczos_mean	11.3552
031	lanczos_min	7
031	lanczos_max	312
031	lanczos_mean_converged	0
031	lanczos_min_converged	0
031	lanczos_max_converged	0
031	time_input	3.26331
031	time_solve	1085.95
031	compression_ratio	0.0999069
032	iterations	51
032	L_final	346.505
032	lanczos_mean	8.21875
032	lanczos_min	7
032	lanczos_max	10
032	lanczos_mean_converged	302.125
032	lanczos_min_converged	292
032	lanczos_max_converged	306
032	time_input	2.77856
032	time_solve	1040.09
032	compression_ratio	0.0999069
033	iterations	83
033	L_final	331.741
033	lanczos_mean	8.1994
033	lanczos_min	6
033	lanczos_max	10
033	lanczos_mean_converged	304.375
033	lanczos_min_converged	295
033	lanczos_max_converged	316
033	time_input	3.4711
033	time_solve	1037.96
033	compression_ratio	0.0999069
034	iterations	95
034	L_final	347.699
034	lanczos_mean	8.0638
034	lanczos_min	6
034	lanczos_max	11
034	lanczos_mean_converged	302.375
034	lanczos_min_converged	292
034	lanczos_max_converged	308
