K	M	STATISTIC	VALUE
10	180	lanczos_min_converged	264
10	180	lanczos_max_converged	281
10	180	time_input	9.18228
10	180	time_solve	864.125
10	180	compression_ratio	0.635978
10	190	iterations	52
10	190	L_final	336.549
10	190	lanczos_mean	7.88868
10	190	lanczos_min	6
10	190	lanczos_max	11
10	190	lanczos_mean_converged	288.3
10	190	lanczos_min_converged	279
10	190	lanczos_max_converged	295
10	190	time_input	8.36175
10	190	time_solve	929.575
10	190	compression_ratio	0.67128
10	200	iterations	52
10	200	L_final	298.623
10	200	lanczos_mean	7.88868
10	200	lanczos_min	6
10	200	lanczos_max	11
10	200	lanczos_mean_converged	301.7
10	200	lanczos_min_converged	292
10	200	lanczos_max_converged	308
10	200	time_input	9.54119
10	200	time_solve	1004.45
10	200	compression_ratio	0.706582
20	10	iterations	69
20	10	L_final	36986
20	10	lanczos_mean	0
20	10	lanczos_min	0
20	10	lanczos_max	0
20	10	lanczos_mean_converged	0
20	10	lanczos_min_converged	0
20	10	lanczos_max_converged	0
20	10	time_input	19.5963
20	10	time_solve	201.261
20	10	compression_ratio	0.0713484
20	20	iterations	69
20	20	L_final	14143.2
20	20	lanczos_mean	0
20	20	lanczos_min	0
20	20	lanczos_max	0
20	20	lanczos_mean_converged	0
20	20	lanczos_min_converged	0
20	20	lanczos_max_converged	0
20	20	time_input	19.4514
20	20	time_solve	211.02
20	20	compression_ratio	0.141953
20	30	iterations	69
20	30	L_final	7406.76
20	30	lanczos_mean	0
20	30	lanczos_min	0
20	30	lanczos_max	0
20	30	lanczos_mean_converged	0
20	30	lanczos_min_converged	0
20	30	lanczos_max_converged	0
20	30	time_input	18.9742
20	30	time_solve	226.451
20	30	compression_ratio	0.212557
20	40	iterations	69
20	40	L_final	4598.46
20	40	lanczos_mean	0
20	40	lanczos_min	0
20	40	lanczos_max	0
20	40	lanczos_mean_converged	0
20	40	lanczos_min_converged	0
20	40	lanczos_max_converged	0
20	40	time_input	19.525
20	40	time_solve	248.178
20	40	compression_ratio	0.283162
20	50	iterations	69
20	50	L_final	3145.23
20	50	lanczos_mean	0
20	50	lanczos_min	0
20	50	lanczos_max	0
20	50	lanczos_mean_converged	0
