K	M	STATISTIC	VALUE
1	180	compression_ratio	0.063897
1	190	iterations	1
1	190	L_final	1908.23
1	190	lanczos_mean	0
1	190	lanczos_min	0
1	190	lanczos_max	0
1	190	lanczos_mean_converged	0
1	190	lanczos_min_converged	0
1	190	lanczos_max_converged	0
1	190	time_input	9.91562
1	190	time_solve	299.624
1	190	compression_ratio	0.0674272
1	200	iterations	1
1	200	L_final	1709.7
1	200	lanczos_mean	0
1	200	lanczos_min	0
1	200	lanczos_max	0
1	200	lanczos_mean_converged	0
1	200	lanczos_min_converged	0
1	200	lanczos_max_converged	0
1	200	time_input	9.86038
1	200	time_solve	320.389
1	200	compression_ratio	0.0709574
2	10	iterations	25
2	10	L_final	115521
2	10	lanczos_mean	0
2	10	lanczos_min	0
2	10	lanczos_max	0
2	10	lanczos_mean_converged	0
2	10	lanczos_min_converged	0
2	10	lanczos_max_converged	0
2	10	time_input	9.9491
2	10	time_solve	32.0342
2	10	compression_ratio	0.00743404
2	20	iterations	25
2	20	L_final	51255.9
2	20	lanczos_mean	0
2	20	lanczos_min	0
2	20	lanczos_max	0
2	20	lanczos_mean_converged	0
2	20	lanczos_min_converged	0
2	20	lanczos_max_converged	0
2	20	time_input	8.69896
2	20	time_solve	36.3145
2	20	compression_ratio	0.0144945
2	30	iterations	25
2	30	L_final	30461.7
2	30	lanczos_mean	0
2	30	lanczos_min	0
2	30	lanczos_max	0
2	30	lanczos_mean_converged	0
2	30	lanczos_min_converged	0
2	30	lanczos_max_converged	0
2	30	time_input	8.88053
2	30	time_solve	46.7297
2	30	compression_ratio	0.0215549
2	40	iterations	25
2	40	L_final	20171.9
2	40	lanczos_mean	0
2	40	lanczos_min	0
2	40	lanczos_max	0
2	40	lanczos_mean_converged	0
2	40	lanczos_min_converged	0
2	40	lanczos_max_converged	0
2	40	time_input	9.01983
2	40	time_solve	54.9556
2	40	compression_ratio	0.0286154
2	50	iterations	25
2	50	L_final	14243.2
2	50	lanczos_mean	0
2	50	lanczos_min	0
2	50	lanczos_max	0
2	50	lanczos_mean_converged	0
2	50	lanczos_min_converged	0
2	50	lanczos_max_converged	0
2	50	time_input	10.521
2	50	time_solve	64.1613
2	50	compression_ratio	0.0356758
2	60	iterations	25
2	60	L_final	10720.8
2	60	lanczos_mean	0
2	60	lanczos_min	0
2	60	lanczos_max	0
2	60	lanczos_mean_converged	0
2	60	lanczos_min_converged	0
2	60	lanczos_max_converged	0
2	60	time_input	12.316
2	60	time_solve	83.8103
2	60	compression_ratio	0.0427362
2	70	iterations	25
2	70	L_final	8321.95
2	70	lanczos_mean	0
2	70	lanczos_min	0
2	70	lanczos_max	0
2	70	lanczos_mean_converged	0
2	70	lanczos_min_converged	0
2	70	lanczos_max_converged	0
2	70	time_input	8.88096
2	70	time_solve	96.8942
2	70	compression_ratio	0.0497967
2	80	iterations	25
2	80	L_final	6630.5
2	80	lanczos_mean	0
2	80	lanczos_min	0
2	80	lanczos_max	0
2	80	lanczos_mean_converged	0
2	80	lanczos_min_converged	0
2	80	lanczos_max_converged	0
2	80	time_input	8.98192
2	80	time_solve	114.934
2	80	compression_ratio	0.0568571
2	90	iterations	25
2	90	L_final	5402.53
2	90	lanczos_mean	0
2	90	lanczos_min	0
2	90	lanczos_max	0
2	90	lanczos_mean_converged	0
2	90	lanczos_min_converged	0
2	90	lanczos_max_converged	0
2	90	time_input	15.57
2	90	time_solve	134.306
2	90	compression_ratio	0.0639176
2	100	iterations	25
2	100	L_final	4473.47
2	100	lanczos_mean	0
2	100	lanczos_min	0
2	100	lanczos_max	0
2	100	lanczos_mean_converged	0
2	100	lanczos_min_converged	0
2	100	lanczos_max_converged	0
2	100	time_input	15.5859
2	100	time_solve	153.838
2	100	compression_ratio	0.070978
2	110	iterations	25
2	110	L_final	3760.76
2	110	lanczos_mean	0
2	110	lanczos_min	0
2	110	lanczos_max	0
2	110	lanczos_mean_converged	0
2	110	lanczos_min_converged	0
2	110	lanczos_max_converged	0
2	110	time_input	15.1634
2	110	time_solve	175.141
2	110	compression_ratio	0.0780385
2	120	iterations	25
2	120	L_final	3199.37
2	120	lanczos_mean	0
2	120	lanczos_min	0
2	120	lanczos_max	0
2	120	lanczos_mean_converged	0
2	120	lanczos_min_converged	0
2	120	lanczos_max_converged	0
2	120	time_input	15.0436
2	120	time_solve	210.618
2	120	compression_ratio	0.0850989
2	130	iterations	25
2	130	L_final	2749.82
2	130	lanczos_mean	0
2	130	lanczos_min	0
2	130	lanczos_max	0
2	130	lanczos_mean_converged	0
2	130	lanczos_min_converged	0
2	130	lanczos_max_converged	0
2	130	time_input	14.613
2	130	time_solve	233.774
2	130	compression_ratio	0.0921593
2	140	iterations	25
2	140	L_final	2380.01
2	140	lanczos_mean	0
2	140	lanczos_min	0
2	140	lanczos_max	0
2	140	lanczos_mean_converged	0
2	140	lanczos_min_converged	0
2	140	lanczos_max_converged	0
2	140	time_input	15.8048
2	140	time_solve	256.514
2	140	compression_ratio	0.0992198
2	150	iterations	25
2	150	L_final	2074.67
2	150	lanczos_mean	0
2	150	lanczos_min	0
2	150	lanczos_max	0
2	150	lanczos_mean_converged	0
2	150	lanczos_min_converged	0
2	150	lanczos_max_converged	0
2	150	time_input	15.5612
2	150	time_solve	290.749
2	150	compression_ratio	0.10628
2	160	iterations	25
2	160	L_final	1818.84
2	160	lanczos_mean	0
2	160	lanczos_min	0
2	160	lanczos_max	0
2	160	lanczos_mean_converged	0
2	160	lanczos_min_converged	0
2	160	lanczos_max_converged	0
2	160	time_input	15.5856
2	160	time_solve	329.554
2	160	compression_ratio	0.113341
2	170	iterations	25
2	170	L_final	1604.14
2	170	lanczos_mean	0
2	170	lanczos_min	0
2	170	lanczos_max	0
2	170	lanczos_mean_converged	0
2	170	lanczos_min_converged	0
2	170	lanczos_max_converged	0
2	170	time_input	15.6091
2	170	time_solve	341.17
2	170	compression_ratio	0.120401
2	180	iterations	25
2	180	L_final	1423.66
2	180	lanczos_mean	0
2	180	lanczos_min	0
2	180	lanczos_max	0
2	180	lanczos_mean_converged	0
2	180	lanczos_min_converged	0
2	180	lanczos_max_converged	0
2	180	time_input	15.7146
2	180	time_solve	383.548
2	180	compression_ratio	0.127462
2	190	iterations	25
2	190	L_final	1267.93
2	190	lanczos_mean	0
2	190	lanczos_min	0
2	190	lanczos_max	0
2	190	lanczos_mean_converged	0
2	190	lanczos_min_converged	0
2	190	lanczos_max_converged	0
2	190	time_input	15.5615
2	190	time_solve	419.961
2	190	compression_ratio	0.134522
2	200	iterations	25
2	200	L_final	1133.57
2	200	lanczos_mean	0
2	200	lanczos_min	0
2	200	lanczos_max	0
2	200	lanczos_mean_converged	0
2	200	lanczos_min_converged	0
2	200	lanczos_max_converged	0
2	200	time_input	15.2031
2	200	time_solve	465.944
2	200	compression_ratio	0.141582
3	10	iterations	23
3	10	L_final	93138
3	10	lanczos_mean	0
3	10	lanczos_min	0
3	10	lanczos_max	0
3	10	lanczos_mean_converged	0
3	10	lanczos_min_converged	0
3	10	lanczos_max_converged	0
3	10	time_input	15.5065
3	10	time_solve	34.9571
3	10	compression_ratio	0.0109848
3	20	iterations	23
3	20	L_final	40599.4
3	20	lanczos_mean	0
3	20	lanczos_min	0
3	20	lanczos_max	0
3	20	lanczos_mean_converged	0
3	20	lanczos_min_converged	0
3	20	lanczos_max_converged	0
3	20	time_input	14.3255
3	20	time_solve	42.1593
3	20	compression_ratio	0.0215755
3	30	iterations	23
3	30	L_final	23433
3	30	lanczos_mean	0
3	30	lanczos_min	0
3	30	lanczos_max	0
3	30	lanczos_mean_converged	0
3	30	lanczos_min_converged	0
3	30	lanczos_max_converged	0
3	30	time_input	15.7172
3	30	time_solve	53.0342
3	30	compression_ratio	0.0321662
3	40	iterations	23
3	40	L_final	15328.7
3	40	lanczos_mean	0
3	40	lanczos_min	0
3	40	lanczos_max	0
3	40	lanczos_mean_converged	0
3	40	lanczos_min_converged	0
3	40	lanczos_max_converged	0
3	40	time_input	15.5889
3	40	time_solve	66.8225
3	40	compression_ratio	0.0427568
3	50	iterations	23
3	50	L_final	10825.9
3	50	lanczos_mean	0
3	50	lanczos_min	0
3	50	lanczos_max	0
3	50	lanczos_mean_converged	0
3	50	lanczos_min_converged	0
3	50	lanczos_max_converged	0
3	50	time_input	15.71
3	50	time_solve	82.5787
3	50	compression_ratio	0.0533475
3	60	iterations	23
3	60	L_final	8029.01
3	60	lanczos_mean	0
3	60	lanczos_min	0
3	60	lanczos_max	0
3	60	lanczos_mean_converged	0
3	60	lanczos_min_converged	0
3	60	lanczos_max_converged	0
3	60	time_input	9.63148
3	60	time_solve	98.3777
3	60	compression_ratio	0.0639381
3	70	iterations	23
3	70	L_final	6217.63
3	70	lanczos_mean	0
3	70	lanczos_min	0
3	70	lanczos_max	0
3	70	lanczos_mean_converged	0
3	70	lanczos_min_converged	0
3	70	lanczos_max_converged	0
3	70	time_input	9.61642
3	70	time_solve	122.713
3	70	compression_ratio	0.0745288
3	80	iterations	23
3	80	L_final	4937.01
3	80	lanczos_mean	0
3	80	lanczos_min	0
3	80	lanczos_max	0
3	80	lanczos_mean_converged	0
3	80	lanczos_min_converged	0
3	80	lanczos_max_converged	0
3	80	time_input	9.24652
3	80	time_solve	144.032
3	80	compression_ratio	0.0851195
3	90	iterations	23
3	90	L_final	4014.58
3	90	lanczos_mean	0
3	90	lanczos_min	0
3	90	lanczos_max	0
3	90	lanczos_mean_converged	0
3	90	lanczos_min_converged	0
3	90	lanczos_max_converged	0
3	90	time_input	9.4081
3	90	time_solve	167.939
3	90	compression_ratio	0.0957101
3	100	iterations	23
3	100	L_final	3325.92
3	100	lanczos_mean	0
3	100	lanczos_min	0
3	100	lanczos_max	0
3	100	lanczos_mean_converged	0
3	100	lanczos_min_converged	0
3	100	lanczos_max_converged	0
3	100	time_input	9.39768
3	100	time_solve	202.687
3	100	compression_ratio	0.106301
3	110	iterations	23
3	110	L_final	2791.93
3	110	lanczos_mean	0
3	110	lanczos_min	0
3	110	lanczos_max	0
3	110	lanczos_mean_converged	0
3	110	lanczos_min_converged	0
3	110	lanczos_max_converged	0
3	110	time_input	9.38203
3	110	time_solve	236.345
3	110	compression_ratio	0.116891
3	120	iterations	23
3	120	L_final	2368.59
3	120	lanczos_mean	0
3	120	lanczos_min	0
3	120	lanczos_max	0
3	120	lanczos_mean_converged	0
3	120	lanczos_min_converged	0
3	120	lanczos_max_converged	0
3	120	time_input	9.33654
3	120	time_solve	262.554
3	120	compression_ratio	0.127482
3	130	iterations	23
3	130	L_final	2030.47
3	130	lanczos_mean	0
3	130	lanczos_min	0
3	130	lanczos_max	0
3	130	lanczos_mean_converged	0
3	130	lanczos_min_converged	0
3	130	lanczos_max_converged	0
3	130	time_input	11.9554
3	130	time_solve	288.276
3	130	compression_ratio	0.138073
3	140	iterations	23
3	140	L_final	1756.29
3	140	lanczos_mean	0
3	140	lanczos_min	0
3	140	lanczos_max	0
3	140	lanczos_mean_converged	0
3	140	lanczos_min_converged	0
3	140	lanczos_max_converged	0
3	140	time_input	8.57795
3	140	time_solve	343.207
3	140	compression_ratio	0.148663
3	150	iterations	23
3	150	L_final	1529.62
3	150	lanczos_mean	0
3	150	lanczos_min	0
3	150	lanczos_max	0
3	150	lanczos_mean_converged	0
3	150	lanczos_min_converged	0
3	150	lanczos_max_converged	0
3	150	time_input	8.65707
3	150	time_solve	364.242
3	150	compression_ratio	0.159254
3	160	iterations	23
3	160	L_final	1339.98
3	160	lanczos_mean	0
3	160	lanczos_min	0
3	160	lanczos_max	0
3	160	lanczos_mean_converged	0
3	160	lanczos_min_converged	0
3	160	lanczos_max_converged	0
3	160	time_input	8.46989
3	160	time_solve	400.53
3	160	compression_ratio	0.169845
3	170	iterations	23
3	170	L_final	1182.37
3	170	lanczos_mean	0
3	170	lanczos_min	0
3	170	lanczos_max	0
3	170	lanczos_mean_converged	0
3	170	lanczos_min_converged	0
3	170	lanczos_max_converged	0
3	170	time_input	9.98515
3	170	time_solve	456.648
3	170	compression_ratio	0.180435
3	180	iterations	23
3	180	L_final	1048.96
3	180	lanczos_mean	0
3	180	lanczos_min	0
3	180	lanczos_max	0
3	180	lanczos_mean_converged	0
3	180	lanczos_min_converged	0
3	180	lanczos_max_converged	0
3	180	time_input	8.3966
3	180	time_solve	501.69
3	180	compression_ratio	0.191026
3	190	iterations	23
3	190	L_final	934.813
3	190	lanczos_mean	0
3	190	lanczos_min	0
3	190	lanczos_max	0
3	190	lanczos_mean_converged	0
3	190	lanczos_min_converged	0
3	190	lanczos_max_converged	0
3	190	time_input	17.185
3	190	time_solve	558.657
3	190	compression_ratio	0.201617
3	200	iterations	23
3	200	L_final	836.019
3	200	lanczos_mean	0
3	200	lanczos_min	0
3	200	lanczos_max	0
3	200	lanczos_mean_converged	0
3	200	lanczos_min_converged	0
3	200	lanczos_max_converged	0
3	200	time_input	17.4315
3	200	time_solve	597.496
3	200	compression_ratio	0.212207
4	10	iterations	34
4	10	L_final	83058.5
4	10	lanczos_mean	0
4	10	lanczos_min	0
4	10	lanczos_max	0
4	10	lanczos_mean_converged	0
4	10	lanczos_min_converged	0
4	10	lanczos_max_converged	0
4	10	time_input	16.2639
4	10	time_solve	48.9408
4	10	compression_ratio	0.0145356
4	20	iterations	34
4	20	L_final	35610.3
4	20	lanczos_mean	0
4	20	lanczos_min	0
4	20	lanczos_max	0
4	20	lanczos_mean_converged	0
4	20	lanczos_min_converged	0
4	20	lanczos_max_converged	0
4	20	time_input	17.7196
4	20	time_solve	55.1746
4	20	compression_ratio	0.0286565
4	30	iterations	34
4	30	L_final	20201.9
4	30	lanczos_mean	0
4	30	lanczos_min	0
4	30	lanczos_max	0
4	30	lanczos_mean_converged	0
4	30	lanczos_min_converged	0
4	30	lanczos_max_converged	0
4	30	time_input	8.21382
4	30	time_solve	66.247
4	30	compression_ratio	0.0427774
4	40	iterations	34
4	40	L_final	13051.6
4	40	lanczos_mean	0
4	40	lanczos_min	0
4	40	lanczos_max	0
4	40	lanczos_mean_converged	0
4	40	lanczos_min_converged	0
4	40	lanczos_max_converged	0
4	40	time_input	8.22454
4	40	time_solve	79.8169
4	40	compression_ratio	0.0568983
4	50	iterations	34
4	50	L_final	9121.03
4	50	lanczos_mean	0
4	50	lanczos_min	0
4	50	lanczos_max	0
4	50	lanczos_mean_converged	0
4	50	lanczos_min_converged	0
4	50	lanczos_max_converged	0
4	50	time_input	10.516
4	50	time_solve	95.1488
4	50	compression_ratio	0.0710192
4	60	iterations	34
4	60	L_final	6719.01
4	60	lanczos_mean	0
4	60	lanczos_min	0
4	60	lanczos_max	0
4	60	lanczos_mean_converged	0
4	60	lanczos_min_converged	0
4	60	lanczos_max_converged	0
4	60	time_input	10.2873
4	60	time_solve	110.785
4	60	compression_ratio	0.0851401
4	70	iterations	34
4	70	L_final	5170.56
4	70	lanczos_mean	0
4	70	lanczos_min	0
4	70	lanczos_max	0
4	70	lanczos_mean_converged	0
4	70	lanczos_min_converged	0
4	70	lanczos_max_converged	0
4	70	time_input	9.03971
4	70	time_solve	130.68
4	70	compression_ratio	0.0992609
4	80	iterations	34
4	80	L_final	4113.93
4	80	lanczos_mean	0
4	80	lanczos_min	0
4	80	lanczos_max	0
4	80	lanczos_mean_converged	0
4	80	lanczos_min_converged	0
4	80	lanczos_max_converged	0
4	80	time_input	8.77061
4	80	time_solve	158.945
4	80	compression_ratio	0.113382
4	90	iterations	34
4	90	L_final	3335.37
4	90	lanczos_mean	0
4	90	lanczos_min	0
4	90	lanczos_max	0
4	90	lanczos_mean_converged	0
4	90	lanczos_min_converged	0
4	90	lanczos_max_converged	0
4	90	time_input	17.1821
4	90	time_solve	183.766
4	90	compression_ratio	0.127503
4	100	iterations	34
4	100	L_final	2749.23
4	100	lanczos_mean	0
4	100	lanczos_min	0
4	100	lanczos_max	0
4	100	lanczos_mean_converged	0
4	100	lanczos_min_converged	0
4	100	lanczos_max_converged	0
4	100	time_input	16.7203
4	100	time_solve	208.68
4	100	compression_ratio	0.141624
4	110	iterations	34
4	110	L_final	2295.88
4	110	lanczos_mean	0
4	110	lanczos_min	0
4	110	lanczos_max	0
4	110	lanczos_mean_converged	0
4	110	lanczos_min_converged	0
4	110	lanczos_max_converged	0
4	110	time_input	16.5855
4	110	time_solve	240.578
4	110	compression_ratio	0.155744
4	120	iterations	34
4	120	L_final	1940.36
4	120	lanczos_mean	0
4	120	lanczos_min	0
4	120	lanczos_max	0
4	120	lanczos_mean_converged	0
4	120	lanczos_min_converged	0
4	120	lanczos_max_converged	0
4	120	time_input	16.334
4	120	time_solve	289.127
4	120	compression_ratio	0.169865
4	130	iterations	34
4	130	L_final	1655.48
4	130	lanczos_mean	0
