VARIABLE	K	M	STATISTIC	VALUE
pom_a1	6	160	srr	4.05543
pom_a1	6	160	precisionbits	2.23917
wat_a2	6	160	min_original	0
wat_a2	6	160	max_original	9.04323e-10
wat_a2	6	160	mean_original	5.97573e-12
wat_a2	6	160	std_original	1.39623e-11
wat_a2	6	160	min_reconstructed	-1.11109e-11
wat_a2	6	160	max_reconstructed	8.71442e-10
wat_a2	6	160	mean_reconstructed	5.97573e-12
wat_a2	6	160	std_reconstructed	1.39214e-11
wat_a2	6	160	max_error	0.107502
wat_a2	6	160	rms_error	0.00118037
wat_a2	6	160	correlation	0.997073
wat_a2	6	160	srr	3.70931
wat_a2	6	160	precisionbits	2.21756
wat_a3	6	160	min_original	0
wat_a3	6	160	max_original	2.6321e-07
wat_a3	6	160	mean_original	1.14976e-08
wat_a3	6	160	std_original	2.89249e-08
wat_a3	6	160	min_reconstructed	-7.13498e-09
wat_a3	6	160	max_reconstructed	2.6274e-07
wat_a3	6	160	mean_reconstructed	1.14976e-08
wat_a3	6	160	std_reconstructed	2.89202e-08
wat_a3	6	160	max_error	0.0824455
wat_a3	6	160	rms_error	0.00199467
wat_a3	6	160	correlation	0.999835
wat_a3	6	160	srr	5.7838
wat_a3	6	160	precisionbits	2.60042
wat_a1	6	160	min_original	0
wat_a1	6	160	max_original	2.98927e-08
wat_a1	6	160	mean_original	1.11377e-09
wat_a1	6	160	std_original	2.39132e-09
wat_a1	6	160	min_reconstructed	-6.33507e-10
wat_a1	6	160	max_reconstructed	2.81016e-08
wat_a1	6	160	mean_reconstructed	1.11377e-09
wat_a1	6	160	std_reconstructed	2.39064e-09
wat_a1	6	160	max_error	0.0723202
wat_a1	6	160	rms_error	0.00191181
wat_a1	6	160	correlation	0.999714
wat_a1	6	160	srr	5.38693
wat_a1	6	160	precisionbits	2.78946
SLV	6	160	min_original	239579
SLV	6	160	max_original	608620
SLV	6	160	mean_original	354664
SLV	6	160	std_original	78501
SLV	6	160	min_reconstructed	240219
SLV	6	160	max_reconstructed	609393
SLV	6	160	mean_reconstructed	354664
SLV	6	160	std_reconstructed	78500.8
SLV	6	160	max_error	0.0235721
SLV	6	160	rms_error	0.00041789
SLV	6	160	correlation	0.999998
SLV	6	160	srr	8.99159
SLV	6	160	precisionbits	4.40677
DMS	6	160	min_original	0
DMS	6	160	max_original	1.59842e-09
DMS	6	160	mean_original	3.02511e-11
DMS	6	160	std_original	8.78583e-11
DMS	6	160	min_reconstructed	-2.48197e-11
DMS	6	160	max_reconstructed	1.59861e-09
DMS	6	160	mean_reconstructed	3.02511e-11
DMS	6	160	std_reconstructed	8.78334e-11
DMS	6	160	max_error	0.0646239
DMS	6	160	rms_error	0.00130759
DMS	6	160	correlation	0.999717
DMS	6	160	srr	5.39354
DMS	6	160	precisionbits	2.95179
CLDFSNOW	6	160	min_original	6.93889e-18
CLDFSNOW	6	160	max_original	0.719323
CLDFSNOW	6	160	mean_original	0.0607795
CLDFSNOW	6	160	std_original	0.0894278
CLDFSNOW	6	160	min_reconstructed	-0.0117467
CLDFSNOW	6	160	max_reconstructed	0.723938
CLDFSNOW	6	160	mean_reconstructed	0.0607795
CLDFSNOW	6	160	std_reconstructed	0.0894102
CLDFSNOW	6	160	max_error	0.0544924
CLDFSNOW	6	160	rms_error	0.00246735
CLDFSNOW	6	160	correlation	0.999803
CLDFSNOW	6	160	srr	5.65498
CLDFSNOW	6	160	precisionbits	3.1978
DTV	6	160	min_original	-0.000232191
DTV	6	160	max_original	0.00041373
DTV	6	160	mean_original	4.45256e-06
DTV	6	160	std_original	1.67765e-05
DTV	6	160	min_reconstructed	-0.00023112
DTV	6	160	max_reconstructed	0.000414438
DTV	6	160	mean_reconstructed	4.45256e-06
DTV	6	160	std_reconstructed	1.67513e-05
DTV	6	160	max_error	0.0538773
DTV	6	160	rms_error	0.00142398
DTV	6	160	correlation	0.998496
DTV	6	160	srr	4.18901
DTV	6	160	precisionbits	3.21418
H2O2	6	160	min_original	9.43771e-13
H2O2	6	160	max_original	3.55469e-09
H2O2	6	160	mean_original	2.0515e-10
H2O2	6	160	std_original	2.89616e-10
H2O2	6	160	min_reconstructed	-1.27855e-12
H2O2	6	160	max_reconstructed	3.54734e-09
H2O2	6	160	mean_reconstructed	2.0515e-10
H2O2	6	160	std_reconstructed	2.8957e-10
H2O2	6	160	max_error	0.0327968
H2O2	6	160	rms_error	0.00146626
H2O2	6	160	correlation	0.999838
H2O2	6	160	srr	5.79652
H2O2	6	160	precisionbits	3.9303
ANRAIN	6	160	min_original	0
ANRAIN	6	160	max_original	53829.5
ANRAIN	6	160	mean_original	845.417
ANRAIN	6	160	std_original	2542.07
ANRAIN	6	160	min_reconstructed	-1667.51
ANRAIN	6	160	max_reconstructed	51563.4
ANRAIN	6	160	mean_reconstructed	845.417
ANRAIN	6	160	std_reconstructed	2536.48
ANRAIN	6	160	max_error	0.171402
ANRAIN	6	160	rms_error	0.00313054
ANRAIN	6	160	correlation	0.9978
ANRAIN	6	160	srr	3.91505
ANRAIN	6	160	precisionbits	1.54454
dgnd_a03	6	160	min_original	1.00004e-06
dgnd_a03	6	160	max_original	3.78263e-06
dgnd_a03	6	160	mean_original	1.22267e-06
dgnd_a03	6	160	std_original	2.22918e-07
dgnd_a03	6	160	min_reconstructed	9.66614e-07
dgnd_a03	6	160	max_reconstructed	3.79778e-06
dgnd_a03	6	160	mean_reconstructed	1.22267e-06
dgnd_a03	6	160	std_reconstructed	2.22822e-07
dgnd_a03	6	160	max_error	0.0737624
dgnd_a03	6	160	rms_error	0.00234939
dgnd_a03	6	160	correlation	0.99957
dgnd_a03	6	160	srr	5.09166
dgnd_a03	6	160	precisionbits	2.76097
FREQL	6	160	min_original	0
FREQL	6	160	max_original	0.86016
FREQL	6	160	mean_original	0.0468375
FREQL	6	160	std_original	0.104814
FREQL	6	160	min_reconstructed	-0.0150596
FREQL	6	160	max_reconstructed	0.858086
FREQL	6	160	mean_reconstructed	0.0468375
FREQL	6	160	std_reconstructed	0.104795
FREQL	6	160	max_error	0.0539334
FREQL	6	160	rms_error	0.00228807
FREQL	6	160	correlation	0.999824
FREQL	6	160	srr	5.73488
