K	M	STATISTIC	VALUE
3	30	L_final	7880.91
3	30	lanczos_mean	0
3	30	lanczos_min	0
3	30	lanczos_max	0
3	30	lanczos_mean_converged	0
3	30	lanczos_min_converged	0
3	30	lanczos_max_converged	0
3	30	time_input	2.08548
3	30	time_solve	274.461
3	30	compression_ratio	1.03415
3	40	iterations	68
3	40	L_final	2762.8
3	40	lanczos_mean	0
3	40	lanczos_min	0
3	40	lanczos_max	0
3	40	lanczos_mean_converged	0
3	40	lanczos_min_converged	0
3	40	lanczos_max_converged	0
3	40	time_input	2.63299
3	40	time_solve	286.07
3	40	compression_ratio	1.37508
3	50	iterations	68
3	50	L_final	891.622
3	50	lanczos_mean	0
3	50	lanczos_min	0
3	50	lanczos_max	0
3	50	lanczos_mean_converged	0
3	50	lanczos_min_converged	0
3	50	lanczos_max_converged	0
3	50	time_input	2.06525
3	50	time_solve	296.841
3	50	compression_ratio	1.71601
3	60	iterations	68
3	60	L_final	236.616
3	60	lanczos_mean	0
3	60	lanczos_min	0
3	60	lanczos_max	0
3	60	lanczos_mean_converged	0
3	60	lanczos_min_converged	0
3	60	lanczos_max_converged	0
3	60	time_input	2.04127
3	60	time_solve	299.975
3	60	compression_ratio	2.05694
3	70	iterations	68
3	70	L_final	35.2373
3	70	lanczos_mean	0
3	70	lanczos_min	0
3	70	lanczos_max	0
3	70	lanczos_mean_converged	0
3	70	lanczos_min_converged	0
3	70	lanczos_max_converged	0
3	70	time_input	2.78157
3	70	time_solve	293.535
3	70	compression_ratio	2.39787
3	80	iterations	68
3	80	L_final	0.494262
3	80	lanczos_mean	0
3	80	lanczos_min	0
3	80	lanczos_max	0
3	80	lanczos_mean_converged	0
3	80	lanczos_min_converged	0
3	80	lanczos_max_converged	0
3	80	time_input	2.05459
3	80	time_solve	275.075
3	80	compression_ratio	2.7388
4	10	iterations	34
4	10	L_final	64782.2
4	10	lanczos_mean	0
4	10	lanczos_min	0
4	10	lanczos_max	0
