VARIABLE	K	M	STATISTIC	VALUE
pom_a1	1	10	srr	0.346621
pom_a1	1	10	precisionbits	-0.888955
wat_a2	1	10	min_original	0
wat_a2	1	10	max_original	9.04323e-10
wat_a2	1	10	mean_original	5.97573e-12
wat_a2	1	10	std_original	1.39623e-11
wat_a2	1	10	min_reconstructed	-6.42759e-12
wat_a2	1	10	max_reconstructed	5.81442e-11
wat_a2	1	10	mean_reconstructed	5.97573e-12
wat_a2	1	10	std_reconstructed	1.09297e-11
wat_a2	1	10	max_error	0.969724
wat_a2	1	10	rms_error	0.00960749
wat_a2	1	10	correlation	0.782804
wat_a2	1	10	srr	0.684391
wat_a2	1	10	precisionbits	-0.955646
wat_a3	1	10	min_original	0
wat_a3	1	10	max_original	2.6321e-07
wat_a3	1	10	mean_original	1.14976e-08
wat_a3	1	10	std_original	2.89249e-08
wat_a3	1	10	min_reconstructed	-2.4905e-08
wat_a3	1	10	max_reconstructed	1.79972e-07
wat_a3	1	10	mean_reconstructed	1.14976e-08
wat_a3	1	10	std_reconstructed	2.78415e-08
wat_a3	1	10	max_error	0.492149
wat_a3	1	10	rms_error	0.0297951
wat_a3	1	10	correlation	0.962543
wat_a3	1	10	srr	1.88295
wat_a3	1	10	precisionbits	0.0228327
wat_a1	1	10	min_original	0
wat_a1	1	10	max_original	2.98927e-08
wat_a1	1	10	mean_original	1.11377e-09
wat_a1	1	10	std_original	2.39132e-09
wat_a1	1	10	min_reconstructed	-1.54618e-09
wat_a1	1	10	max_reconstructed	1.29437e-08
wat_a1	1	10	mean_reconstructed	1.11377e-09
wat_a1	1	10	std_reconstructed	2.22421e-09
wat_a1	1	10	max_error	0.839834
wat_a1	1	10	rms_error	0.0293798
wat_a1	1	10	correlation	0.930117
wat_a1	1	10	srr	1.44512
wat_a1	1	10	precisionbits	-0.748175
SLV	1	10	min_original	239579
SLV	1	10	max_original	608620
SLV	1	10	mean_original	354664
SLV	1	10	std_original	78501
SLV	1	10	min_reconstructed	234153
SLV	1	10	max_reconstructed	613080
SLV	1	10	mean_reconstructed	354664
SLV	1	10	std_reconstructed	78405.2
SLV	1	10	max_error	0.0944816
SLV	1	10	rms_error	0.0105018
SLV	1	10	correlation	0.998781
SLV	1	10	srr	4.34022
SLV	1	10	precisionbits	2.40382
DMS	1	10	min_original	0
DMS	1	10	max_original	1.59842e-09
DMS	1	10	mean_original	3.02511e-11
DMS	1	10	std_original	8.78583e-11
DMS	1	10	min_reconstructed	-1.46157e-10
DMS	1	10	max_reconstructed	4.82821e-10
DMS	1	10	mean_reconstructed	3.02511e-11
DMS	1	10	std_reconstructed	7.13257e-11
DMS	1	10	max_error	0.755865
DMS	1	10	rms_error	0.0320943
DMS	1	10	correlation	0.811827
DMS	1	10	srr	0.776211
DMS	1	10	precisionbits	-0.5962
CLDFSNOW	1	10	min_original	0
CLDFSNOW	1	10	max_original	0.719323
CLDFSNOW	1	10	mean_original	0.0607795
CLDFSNOW	1	10	std_original	0.0894278
CLDFSNOW	1	10	min_reconstructed	-0.0844514
CLDFSNOW	1	10	max_reconstructed	0.643204
CLDFSNOW	1	10	mean_reconstructed	0.0607795
CLDFSNOW	1	10	std_reconstructed	0.0872381
CLDFSNOW	1	10	max_error	0.336155
CLDFSNOW	1	10	rms_error	0.0273434
CLDFSNOW	1	10	correlation	0.975514
CLDFSNOW	1	10	srr	2.18482
CLDFSNOW	1	10	precisionbits	0.572802
DTV	1	10	min_original	-0.000232191
DTV	1	10	max_original	0.00041373
DTV	1	10	mean_original	4.45256e-06
DTV	1	10	std_original	1.67765e-05
DTV	1	10	min_reconstructed	-6.73205e-05
DTV	1	10	max_reconstructed	9.35326e-05
DTV	1	10	mean_reconstructed	4.45256e-06
DTV	1	10	std_reconstructed	1.35103e-05
DTV	1	10	max_error	0.588929
DTV	1	10	rms_error	0.0153983
DTV	1	10	correlation	0.805308
DTV	1	10	srr	0.754245
DTV	1	10	precisionbits	-0.236166
H2O2	1	10	min_original	9.43771e-13
H2O2	1	10	max_original	3.55469e-09
H2O2	1	10	mean_original	2.0515e-10
H2O2	1	10	std_original	2.89616e-10
H2O2	1	10	min_reconstructed	-3.44393e-10
H2O2	1	10	max_reconstructed	1.33358e-09
H2O2	1	10	mean_reconstructed	2.0515e-10
H2O2	1	10	std_reconstructed	2.55658e-10
H2O2	1	10	max_error	0.662224
H2O2	1	10	rms_error	0.0382909
H2O2	1	10	correlation	0.882747
H2O2	1	10	srr	1.08973
H2O2	1	10	precisionbits	-0.405391
ANRAIN	1	10	min_original	0
ANRAIN	1	10	max_original	53829.5
ANRAIN	1	10	mean_original	845.417
ANRAIN	1	10	std_original	2542.07
ANRAIN	1	10	min_reconstructed	-3553.59
ANRAIN	1	10	max_reconstructed	15994.4
ANRAIN	1	10	mean_reconstructed	845.417
ANRAIN	1	10	std_reconstructed	1837.61
ANRAIN	1	10	max_error	0.842629
ANRAIN	1	10	rms_error	0.0326309
ANRAIN	1	10	correlation	0.72288
ANRAIN	1	10	srr	0.533297
ANRAIN	1	10	precisionbits	-0.75297
dgnd_a03	1	10	min_original	1.00004e-06
dgnd_a03	1	10	max_original	3.78263e-06
dgnd_a03	1	10	mean_original	1.22267e-06
dgnd_a03	1	10	std_original	2.22918e-07
dgnd_a03	1	10	min_reconstructed	9.1254e-07
dgnd_a03	1	10	max_reconstructed	1.97828e-06
dgnd_a03	1	10	mean_reconstructed	1.22267e-06
dgnd_a03	1	10	std_reconstructed	1.79909e-07
dgnd_a03	1	10	max_error	0.814127
dgnd_a03	1	10	rms_error	0.0473031
dgnd_a03	1	10	correlation	0.807065
dgnd_a03	1	10	srr	0.760081
dgnd_a03	1	10	precisionbits	-0.703325
FREQL	1	10	min_original	0
FREQL	1	10	max_original	0.86016
FREQL	1	10	mean_original	0.0468375
FREQL	1	10	std_original	0.104814
FREQL	1	10	min_reconstructed	-0.115915
FREQL	1	10	max_reconstructed	0.682891
FREQL	1	10	mean_reconstructed	0.0468375
FREQL	1	10	std_reconstructed	0.09609
FREQL	1	10	max_error	0.418967
FREQL	1	10	rms_error	0.048671
FREQL	1	10	correlation	0.916768
FREQL	1	10	srr	1.32402
FREQL	1	10	precisionbits	0.255091
ICIMR	1	10	min_original	0
ICIMR	1	10	max_original	0.00012157
ICIMR	1	10	mean_original	2.08026e-06
ICIMR	1	10	std_original	5.65876e-06
ICIMR	1	10	min_reconstructed	-1.16598e-05
ICIMR	1	10	max_reconstructed	3.24296e-05
ICIMR	1	10	mean_reconstructed	2.08026e-06
ICIMR	1	10	std_reconstructed	3.76164e-06
ICIMR	1	10	max_error	0.832389
ICIMR	1	10	rms_error	0.034774
ICIMR	1	10	correlation	0.664746
ICIMR	1	10	srr	0.420686
ICIMR	1	10	precisionbits	-0.73533
Z3	1	10	min_original	41.1775
Z3	1	10	max_original	37654.4
Z3	1	10	mean_original	11238.9
Z3	1	10	std_original	10065.7
Z3	1	10	min_reconstructed	-2609.94
Z3	1	10	max_reconstructed	38168.6
Z3	1	10	mean_reconstructed	11238.9
Z3	1	10	std_reconstructed	10059
Z3	1	10	max_error	0.0742547
Z3	1	10	rms_error	0.00977823
Z3	1	10	correlation	0.999332
Z3	1	10	srr	4.77442
Z3	1	10	precisionbits	2.75137
WSUB	1	10	min_original	0.2
WSUB	1	10	max_original	1.30369
WSUB	1	10	mean_original	0.245025
WSUB	1	10	std_original	0.0820812
WSUB	1	10	min_reconstructed	0.0782704
WSUB	1	10	max_reconstructed	0.66509
WSUB	1	10	mean_reconstructed	0.245025
WSUB	1	10	std_reconstructed	0.0706378
WSUB	1	10	max_error	0.654656
WSUB	1	10	rms_error	0.0378774
WSUB	1	10	correlation	0.860583
WSUB	1	10	srr	0.973385
WSUB	1	10	precisionbits	-0.38881
FREQS	1	10	min_original	0
FREQS	1	10	max_original	0.940525
FREQS	1	10	mean_original	0.0930056
FREQS	1	10	std_original	0.156255
FREQS	1	10	min_reconstructed	-0.195098
FREQS	1	10	max_reconstructed	0.801399
FREQS	1	10	mean_reconstructed	0.0930056
FREQS	1	10	std_reconstructed	0.147973
FREQS	1	10	max_error	0.323981
FREQS	1	10	rms_error	0.0533707
FREQS	1	10	correlation	0.946995
FREQS	1	10	srr	1.63824
FREQS	1	10	precisionbits	0.626019
AQSNOW	1	10	min_original	0
AQSNOW	1	10	max_original	0.00024403
AQSNOW	1	10	mean_original	3.16677e-06
AQSNOW	1	10	std_original	6.6366e-06
AQSNOW	1	10	min_reconstructed	-8.47253e-06
AQSNOW	1	10	max_reconstructed	2.91797e-05
AQSNOW	1	10	mean_reconstructed	3.16677e-06
AQSNOW	1	10	std_reconstructed	5.31555e-06
AQSNOW	1	10	max_error	0.904291
AQSNOW	1	10	rms_error	0.0162832
AQSNOW	1	10	correlation	0.800945
AQSNOW	1	10	srr	0.740004
AQSNOW	1	10	precisionbits	-0.854859
NUMICE	1	10	min_original	0
NUMICE	1	10	max_original	854591
NUMICE	1	10	mean_original	6914.6
NUMICE	1	10	std_original	20217.7
NUMICE	1	10	min_reconstructed	-27738.1
NUMICE	1	10	max_reconstructed	101173
NUMICE	1	10	mean_reconstructed	6914.6
NUMICE	1	10	std_reconstructed	13268.8
NUMICE	1	10	max_error	0.916174
NUMICE	1	10	rms_error	0.0178498
NUMICE	1	10	correlation	0.656299
NUMICE	1	10	srr	0.406405
NUMICE	1	10	precisionbits	-0.873694
Q	1	10	min_original	1.24165e-06
Q	1	10	max_original	0.0183988
Q	1	10	mean_original	0.00258097
Q	1	10	std_original	0.00426885
Q	1	10	min_reconstructed	-0.00145271
Q	1	10	max_reconstructed	0.0173943
Q	1	10	mean_reconstructed	0.00258097
Q	1	10	std_reconstructed	0.00419721
Q	1	10	max_error	0.238416
Q	1	10	rms_error	0.0423295
Q	1	10	correlation	0.983219
Q	1	10	srr	2.4546
Q	1	10	precisionbits	1.06845
VQ	1	10	min_original	-0.092088
VQ	1	10	max_original	0.107227
VQ	1	10	mean_original	0.000428235
VQ	1	10	std_original	0.0100806
VQ	1	10	min_reconstructed	-0.0445696
VQ	1	10	max_reconstructed	0.0514787
VQ	1	10	mean_reconstructed	0.000428235
VQ	1	10	std_reconstructed	0.00596437
VQ	1	10	max_error	0.363634
VQ	1	10	rms_error	0.0407735
VQ	1	10	correlation	0.59167
VQ	1	10	srr	0.310826
VQ	1	10	precisionbits	0.459442
UU	1	10	min_original	0.726122
UU	1	10	max_original	5151.92
UU	1	10	mean_original	336.572
UU	1	10	std_original	465.964
UU	1	10	min_reconstructed	-492.917
UU	1	10	max_reconstructed	3098.95
UU	1	10	mean_reconstructed	336.572
UU	1	10	std_reconstructed	427.364
UU	1	10	max_error	0.400476
UU	1	10	rms_error	0.0360487
UU	1	10	correlation	0.917162
UU	1	10	srr	1.32729
UU	1	10	precisionbits	0.320211
WTKE	1	10	min_original	0.2
WTKE	1	10	max_original	1.30369
WTKE	1	10	mean_original	0.245025
WTKE	1	10	std_original	0.0820812
WTKE	1	10	min_reconstructed	0.0782704
WTKE	1	10	max_reconstructed	0.66509
WTKE	1	10	mean_reconstructed	0.245025
WTKE	1	10	std_reconstructed	0.0706378
WTKE	1	10	max_error	0.654656
WTKE	1	10	rms_error	0.0378774
WTKE	1	10	correlation	0.860583
WTKE	1	10	srr	0.973385
WTKE	1	10	precisionbits	-0.38881
num_a2	1	10	min_original	1.51736e+06
num_a2	1	10	max_original	7.84934e+09
num_a2	1	10	mean_original	1.62863e+08
num_a2	1	10	std_original	1.61637e+08
num_a2	1	10	min_reconstructed	-1.39473e+08
num_a2	1	10	max_reconstructed	4.12009e+08
num_a2	1	10	mean_reconstructed	1.62863e+08
num_a2	1	10	std_reconstructed	9.24603e+07
num_a2	1	10	max_error	0.95828
num_a2	1	10	rms_error	0.0168939
num_a2	1	10	correlation	0.572026
num_a2	1	10	srr	0.28589
num_a2	1	10	precisionbits	-0.938519
num_a3	1	10	min_original	1.8269e-05
num_a3	1	10	max_original	7.57759e+07
num_a3	1	10	mean_original	454517
num_a3	1	10	std_original	1.37612e+06
num_a3	1	10	min_reconstructed	-2.70307e+06
num_a3	1	10	max_reconstructed	4.73867e+06
num_a3	1	10	mean_reconstructed	454517
num_a3	1	10	std_reconstructed	778025
num_a3	1	10	max_error	0.951624
num_a3	1	10	rms_error	0.0149792
num_a3	1	10	correlation	0.565378
num_a3	1	10	srr	0.277828
num_a3	1	10	precisionbits	-0.928463
num_a1	1	10	min_original	802563
num_a1	1	10	max_original	1.27248e+10
num_a1	1	10	mean_original	9.29036e+07
num_a1	1	10	std_original	2.23938e+08
num_a1	1	10	min_reconstructed	-3.79001e+08
num_a1	1	10	max_reconstructed	1.06293e+09
num_a1	1	10	mean_reconstructed	9.29036e+07
num_a1	1	10	std_reconstructed	1.53537e+08
num_a1	1	10	max_error	0.916905
num_a1	1	10	rms_error	0.0128117
num_a1	1	10	correlation	0.685625
num_a1	1	10	srr	0.458079
num_a1	1	10	precisionbits	-0.874844
ANSNOW	1	10	min_original	0
ANSNOW	1	10	max_original	255200
ANSNOW	1	10	mean_original	1353.14
ANSNOW	1	10	std_original	4425.36
ANSNOW	1	10	min_reconstructed	-4326.98
ANSNOW	1	10	max_reconstructed	14823.4
ANSNOW	1	10	mean_reconstructed	1353.14
ANSNOW	1	10	std_reconstructed	2416.69
ANSNOW	1	10	max_error	0.962219
ANSNOW	1	10	rms_error	0.0145267
ANSNOW	1	10	correlation	0.5461
ANSNOW	1	10	srr	0.25546
ANSNOW	1	10	precisionbits	-0.944438
FREQI	1	10	min_original	0
FREQI	1	10	max_original	0.88516
FREQI	1	10	mean_original	0.0555143
FREQI	1	10	std_original	0.0945655
FREQI	1	10	min_reconstructed	-0.12714
FREQI	1	10	max_reconstructed	0.633923
FREQI	1	10	mean_reconstructed	0.0555143
FREQI	1	10	std_reconstructed	0.0876365
FREQI	1	10	max_error	0.42576
FREQI	1	10	rms_error	0.0401414
FREQI	1	10	correlation	0.926727
FREQI	1	10	srr	1.41221
FREQI	1	10	precisionbits	0.231887
TOT_CLD_VISTAU	1	10	min_original	0
TOT_CLD_VISTAU	1	10	max_original	19.4941
TOT_CLD_VISTAU	1	10	mean_original	0.306793
TOT_CLD_VISTAU	1	10	std_original	0.702205
TOT_CLD_VISTAU	1	10	min_reconstructed	-1.49149
TOT_CLD_VISTAU	1	10	max_reconstructed	5.20725
TOT_CLD_VISTAU	1	10	mean_reconstructed	0.306793
TOT_CLD_VISTAU	1	10	std_reconstructed	0.536009
TOT_CLD_VISTAU	1	10	max_error	0.817948
TOT_CLD_VISTAU	1	10	rms_error	0.0232705
TOT_CLD_VISTAU	1	10	correlation	0.763323
TOT_CLD_VISTAU	1	10	srr	0.630356
TOT_CLD_VISTAU	1	10	precisionbits	-0.710082
ABSORB	1	10	min_original	9.67492e-13
ABSORB	1	10	max_original	0.000438466
ABSORB	1	10	mean_original	9.29679e-07
ABSORB	1	10	std_original	4.72151e-06
ABSORB	1	10	min_reconstructed	-5.62493e-06
ABSORB	1	10	max_reconstructed	1.18405e-05
ABSORB	1	10	mean_reconstructed	9.29679e-07
ABSORB	1	10	std_reconstructed	2.11544e-06
ABSORB	1	10	max_error	0.978741
ABSORB	1	10	rms_error	0.00962695
ABSORB	1	10	correlation	0.448043
ABSORB	1	10	srr	0.161634
ABSORB	1	10	precisionbits	-0.968999
dgnd_a02	1	10	min_original	1.98504e-08
dgnd_a02	1	10	max_original	5.24956e-08
dgnd_a02	1	10	mean_original	3.46611e-08
dgnd_a02	1	10	std_original	4.91539e-09
dgnd_a02	1	10	min_reconstructed	2.07693e-08
dgnd_a02	1	10	max_reconstructed	5.28502e-08
dgnd_a02	1	10	mean_reconstructed	3.46611e-08
dgnd_a02	1	10	std_reconstructed	4.87764e-09
dgnd_a02	1	10	max_error	0.210766
dgnd_a02	1	10	rms_error	0.0186234
dgnd_a02	1	10	correlation	0.992321
dgnd_a02	1	10	srr	3.01525
dgnd_a02	1	10	precisionbits	1.24628
VD01	1	10	min_original	-1.67312e-07
VD01	1	10	max_original	2.01814e-07
VD01	1	10	mean_original	4.65942e-09
VD01	1	10	std_original	1.33945e-08
VD01	1	10	min_reconstructed	-1.19775e-08
VD01	1	10	max_reconstructed	6.72401e-08
VD01	1	10	mean_reconstructed	4.65942e-09
VD01	1	10	std_reconstructed	1.07208e-08
VD01	1	10	max_error	0.525274
VD01	1	10	rms_error	0.0217538
VD01	1	10	correlation	0.800382
VD01	1	10	srr	0.738193
VD01	1	10	precisionbits	-0.0711425
TOT_ICLD_VISTAU	1	10	min_original	0
TOT_ICLD_VISTAU	1	10	max_original	67.5472
TOT_ICLD_VISTAU	1	10	mean_original	1.36954
TOT_ICLD_VISTAU	1	10	std_original	2.7199
TOT_ICLD_VISTAU	1	10	min_reconstructed	-3.65123
TOT_ICLD_VISTAU	1	10	max_reconstructed	16.0903
TOT_ICLD_VISTAU	1	10	mean_reconstructed	1.36954
TOT_ICLD_VISTAU	1	10	std_reconstructed	1.88012
TOT_ICLD_VISTAU	1	10	max_error	0.94924
TOT_ICLD_VISTAU	1	10	rms_error	0.0290974
TOT_ICLD_VISTAU	1	10	correlation	0.691247
TOT_ICLD_VISTAU	1	10	srr	0.468694
TOT_ICLD_VISTAU	1	10	precisionbits	-0.924844
dgnd_a01	1	10	min_original	4.92289e-08
dgnd_a01	1	10	max_original	3.64792e-07
dgnd_a01	1	10	mean_original	1.35156e-07
dgnd_a01	1	10	std_original	3.44591e-08
dgnd_a01	1	10	min_reconstructed	1.13917e-08
dgnd_a01	1	10	max_reconstructed	2.32615e-07
dgnd_a01	1	10	mean_reconstructed	1.35156e-07
dgnd_a01	1	10	std_reconstructed	3.20771e-08
dgnd_a01	1	10	max_error	0.507466
dgnd_a01	1	10	rms_error	0.0398946
dgnd_a01	1	10	correlation	0.930874
dgnd_a01	1	10	srr	1.45269
dgnd_a01	1	10	precisionbits	-0.0213828
soa_a2	1	10	min_original	6.38432e-21
soa_a2	1	10	max_original	5.94177e-11
soa_a2	1	10	mean_original	1.80749e-12
soa_a2	1	10	std_original	1.70821e-12
soa_a2	1	10	min_reconstructed	-1.98582e-12
soa_a2	1	10	max_reconstructed	4.42498e-12
soa_a2	1	10	mean_reconstructed	1.80749e-12
soa_a2	1	10	std_reconstructed	8.933e-13
soa_a2	1	10	max_error	0.933528
soa_a2	1	10	rms_error	0.0245048
soa_a2	1	10	correlation	0.522945
soa_a2	1	10	srr	0.230454
soa_a2	1	10	precisionbits	-0.900765
soa_a1	1	10	min_original	7.33149e-15
soa_a1	1	10	max_original	1.71704e-08
soa_a1	1	10	mean_original	2.09364e-10
soa_a1	1	10	std_original	5.82626e-10
soa_a1	1	10	min_reconstructed	-8.67906e-10
soa_a1	1	10	max_reconstructed	2.6205e-09
soa_a1	1	10	mean_reconstructed	2.09364e-10
soa_a1	1	10	std_reconstructed	3.9012e-10
soa_a1	1	10	max_error	0.858343
soa_a1	1	10	rms_error	0.0252024
soa_a1	1	10	correlation	0.669589
