VARIABLE	INFO	VALUE
FLNTC	name	Clearsky net longwave flux at top of model
FREQSH	levels	1
FREQSH	name	Fractional occurance of shallow convection
TMQ	levels	1
TMQ	name	Total (vertically integrated) precipitable water
FREQI	levels	30
FREQI	name	Fractional occurance of ice
TOT_CLD_VISTAU	levels	30
TOT_CLD_VISTAU	name	Total gbx cloud extinction visible sw optical depth
ABSORB	levels	30
ABSORB	name	Aerosol absorption
FREQZM	levels	1
FREQZM	name	Fractional occurance of ZM convection
LWCF	levels	1
LWCF	name	Longwave cloud forcing
SSAVIS	levels	1
SSAVIS	name	Aerosol singel-scatter albedo
dgnd_a02	levels	30
dgnd_a02	name	dry dgnum, interstitial, mode 02
VD01	levels	30
VD01	name	Vertical diffusion of Q
TGCLDIWP	levels	1
TGCLDIWP	name	Total grid-box cloud ice water path
TOT_ICLD_VISTAU	levels	30
TOT_ICLD_VISTAU	name	Total in-cloud extinction visible sw optical depth
U10	levels	1
U10	name	10m wind speed
dgnd_a01	levels	30
dgnd_a01	name	dry dgnum, interstitial, mode 01
soa_a2	levels	30
soa_a2	name	soa_a2 concentration
soa_a1	levels	30
soa_a1	name	soa_a1 concentration
SNOWHLND	levels	1
SNOWHLND	name	Water equivalent snow depth
QTFLX	levels	31
QTFLX	name	Total water flux
TREFMNAV	levels	1
TREFMNAV	name	Average of TREFHT daily minimum
TSMX	levels	1
TSMX	name	Maximum surface temperature over output period
AREL	levels	30
AREL	name	Average droplet effective radius
AREI	levels	30
AREI	name	Average ice effective radius
PHIS	levels	1
PHIS	name	Surface geopotential
FSUTOA	levels	1
FSUTOA	name	Upwelling solar flux at top of atmosphere
DSTSFWET	levels	1
DSTSFWET	name	Wet deposition flux at surface
OMEGA	levels	30
OMEGA	name	Vertical velocity (pressure)
FLUT	levels	1
FLUT	name	Upwelling longwave flux at top of model
PBLH	levels	1
PBLH	name	PBL height
RELHUM	levels	30
RELHUM	name	Relative humidity
bc_a1	levels	30
bc_a1	name	bc_a1 concentration
TREFHT	levels	1
TREFHT	name	Reference height temperature
FICE	levels	30
FICE	name	Fractional ice content within cloud
AODDUST1	levels	1
AODDUST1	name	Aerosol optical depth 550 nm model 1 from dust
AODDUST2	levels	1
AODDUST2	name	Aerosol optical depth 550 nm model 2 from dust
AODDUST3	levels	1
AODDUST3	name	Aerosol optical depth 550 nm model 3 from dust
AWNC	levels	30
AWNC	name	Average cloud water number conc
FSDSC	levels	1
FSDSC	name	Clearsky downwelling solar flux at surface
DTCOND	levels	30
DTCOND	name	T tendency - moist processes
V	levels	30
V	name	Meridional wind
CONCLD	levels	30
CONCLD	name	Convective cloud cover
AWNI	levels	30
AWNI	name	Average cloud ice number conc
CMFDQR	levels	30
CMFDQR	name	Q tendency - shallow convection rainout
NUMLIQ	levels	30
NUMLIQ	name	Grid box averaged cloud liquid number
ICWMR	levels	30
ICWMR	name	Prognostic in-cloud water mixing ratio
H2SO4	levels	30
H2SO4	name	H2SO4 concentration
ORO	levels	1
ORO	name	ORO
LCLOUD	levels	30
LCLOUD	name	Liquid cloud fraction
ncl_a3	levels	30
ncl_a3	name	ncl_a3 concentration
ncl_a2	levels	30
ncl_a2	name	ncl_a2 concentration
ncl_a1	levels	30
ncl_a1	name	ncl_a1 concentration
ICLDIWP	levels	30
ICLDIWP	name	In-cloud ice water path
WGUSTD	levels	1
WGUSTD	name	wind gusts from turbulence
SSTODXC	levels	1
SSTODXC	name	Optical depth for diagnostics
SFCLDLIQ	levels	1
SFCLDLIQ	name	CLDLIQ surface flux
RHREFHT	levels	1
RHREFHT	name	Reference height relative humidity
SL	levels	30
SL	name	Liquid water static energy
PCONVT	levels	1
PCONVT	name	convection top pressure
AODMODE3	levels	1
AODMODE3	name	Aerosol optical depth 550 nm mode 3
AODMODE2	levels	1
AODMODE2	name	Aerosol optical depth 550 nm mode 2
AODMODE1	levels	1
AODMODE1	name	Aerosol optical depth 550 nm mode 1
SOLIN	levels	1
SOLIN	name	Solar insolation
ICLDTWP	levels	30
ICLDTWP	name	In-cloud cloud total water path (liquid and ice)
PCONVB	levels	1
PCONVB	name	convection base pressure
dst_a3SF	levels	1
dst_a3SF	name	dst_a3 dust surface emission
DSTODXC	levels	1
DSTODXC	name	Optical depth for diagnostics
so4_a1	levels	30
so4_a1	name	so4_a1 concentration
so4_a2	levels	30
so4_a2	name	so4_a2 concentration
so4_a3	levels	30
so4_a3	name	so4_a3 concentration
PRECT	levels	1
PRECT	name	Total (convective and large-scale) precipitation rate (liq + ice)
T850	levels	1
T850	name	Temperature at 850 mbar pressure surface
FSNTC	levels	1
FSNTC	name	Clearsky net solar flux at top of model
