K	M	STATISTIC	VALUE
7	240	lanczos_max	11
7	240	lanczos_mean_converged	360.571
7	240	lanczos_min_converged	354
7	240	lanczos_max_converged	366
7	240	time_input	16.4659
7	240	time_solve	934.765
7	240	compression_ratio	0.125998
7	250	iterations	79
7	250	L_final	182.862
7	250	lanczos_mean	7.73036
7	250	lanczos_min	6
7	250	lanczos_max	11
7	250	lanczos_mean_converged	375.143
7	250	lanczos_min_converged	366
7	250	lanczos_max_converged	379
7	250	time_input	16.4498
7	250	time_solve	1012.34
7	250	compression_ratio	0.131227
8	160	iterations	85
8	160	L_final	421.698
8	160	lanczos_mean	8.17878
8	160	lanczos_min	7
8	160	lanczos_max	11
8	160	lanczos_mean_converged	249
8	160	lanczos_min_converged	242
8	160	lanczos_max_converged	255
8	160	time_input	16.4617
8	160	time_solve	666.376
8	160	compression_ratio	0.0874858
8	170	iterations	85
8	170	L_final	368.905
8	170	lanczos_mean	8.17878
8	170	lanczos_min	7
8	170	lanczos_max	11
8	170	lanczos_mean_converged	262.375
8	170	lanczos_min_converged	260
8	170	lanczos_max_converged	267
8	170	time_input	16.3529
8	170	time_solve	722.133
8	170	compression_ratio	0.0929197
8	180	iterations	85
8	180	L_final	324.266
8	180	lanczos_mean	8.17878
8	180	lanczos_min	7
8	180	lanczos_max	11
8	180	lanczos_mean_converged	275.625
8	180	lanczos_min_converged	269
8	180	lanczos_max_converged	280
8	180	time_input	16.4636
8	180	time_solve	771.802
8	180	compression_ratio	0.0983536
8	190	iterations	85
8	190	L_final	286.529
8	190	lanczos_mean	8.17878
8	190	lanczos_min	7
8	190	lanczos_max	11
8	190	lanczos_mean_converged	289.625
8	190	lanczos_min_converged	282
8	190	lanczos_max_converged	296
8	190	time_input	16.042
8	190	time_solve	839.589
8	190	compression_ratio	0.103788
8	200	iterations	85
8	200	L_final	254.216
8	200	lanczos_mean	8.17878
8	200	lanczos_min	7
8	200	lanczos_max	11
8	200	lanczos_mean_converged	303.625
8	200	lanczos_min_converged	296
8	200	lanczos_max_converged	307
8	200	time_input	16.3502
8	200	time_solve	914.034
8	200	compression_ratio	0.109221
8	210	iterations	85
8	210	L_final	226.474
8	210	lanczos_mean	8.17878
8	210	lanczos_min	7
8	210	lanczos_max	11
8	210	lanczos_mean_converged	317
8	210	lanczos_min_converged	311
8	210	lanczos_max_converged	323
8	210	time_input	16.4394
8	210	time_solve	977.174
8	210	compression_ratio	0.114655
8	220	iterations	85
8	220	L_final	202.412
8	220	lanczos_mean	8.17878
8	220	lanczos_min	7
8	220	lanczos_max	11
8	220	lanczos_mean_converged	330.875
8	220	lanczos_min_converged	323
8	220	lanczos_max_converged	335
8	220	time_input	16.4915
8	220	time_solve	1048.27
8	220	compression_ratio	0.120089
8	230	iterations	85
8	230	L_final	181.421
8	230	lanczos_mean	8.17878
8	230	lanczos_min	7
8	230	lanczos_max	11
8	230	lanczos_mean_converged	344.375
8	230	lanczos_min_converged	339
8	230	lanczos_max_converged	353
8	230	time_input	16.4319
8	230	time_solve	1117.46
8	230	compression_ratio	0.125523
8	240	iterations	85
8	240	L_final	163.046
8	240	lanczos_mean	8.17878
8	240	lanczos_min	7
8	240	lanczos_max	11
8	240	lanczos_mean_converged	359.125
8	240	lanczos_min_converged	354
8	240	lanczos_max_converged	365
8	240	time_input	16.5404
8	240	time_solve	1204.75
8	240	compression_ratio	0.130957
8	250	iterations	85
8	250	L_final	146.868
8	250	lanczos_mean	8.17878
8	250	lanczos_min	7
8	250	lanczos_max	11
8	250	lanczos_mean_converged	372
8	250	lanczos_min_converged	368
8	250	lanczos_max_converged	378
8	250	time_input	16.4499
8	250	time_solve	1288.98
8	250	compression_ratio	0.136391
9	160	iterations	41
9	160	L_final	472.189
9	160	lanczos_mean	7.57143
9	160	lanczos_min	6
9	160	lanczos_max	10
9	160	lanczos_mean_converged	250.778
9	160	lanczos_min_converged	247
9	160	lanczos_max_converged	254
9	160	time_input	16.3566
9	160	time_solve	573.656
9	160	compression_ratio	0.0907984
9	170	iterations	41
9	170	L_final	413.595
9	170	lanczos_mean	7.57143
9	170	lanczos_min	6
9	170	lanczos_max	10
9	170	lanczos_mean_converged	263.556
9	170	lanczos_min_converged	259
9	170	lanczos_max_converged	269
9	170	time_input	16.4378
9	170	time_solve	621.608
9	170	compression_ratio	0.0964381
9	180	iterations	41
9	180	L_final	364.222
9	180	lanczos_mean	7.57143
9	180	lanczos_min	6
9	180	lanczos_max	10
9	180	lanczos_mean_converged	276.667
9	180	lanczos_min_converged	273
9	180	lanczos_max_converged	282
9	180	time_input	8.60432
9	180	time_solve	673.09
9	180	compression_ratio	0.102078
9	190	iterations	41
9	190	L_final	322.32
9	190	lanczos_mean	7.57143
9	190	lanczos_min	6
9	190	lanczos_max	10
9	190	lanczos_mean_converged	290.333
9	190	lanczos_min_converged	286
9	190	lanczos_max_converged	295
9	190	time_input	8.65231
9	190	time_solve	729.485
9	190	compression_ratio	0.107717
9	200	iterations	41
9	200	L_final	286.377
9	200	lanczos_mean	7.57143
9	200	lanczos_min	6
9	200	lanczos_max	10
9	200	lanczos_mean_converged	304.111
9	200	lanczos_min_converged	298
9	200	lanczos_max_converged	309
9	200	time_input	11.4269
9	200	time_solve	799.258
9	200	compression_ratio	0.113357
9	210	iterations	41
9	210	L_final	255.559
9	210	lanczos_mean	7.57143
9	210	lanczos_min	6
9	210	lanczos_max	10
9	210	lanczos_mean_converged	319
9	210	lanczos_min_converged	315
9	210	lanczos_max_converged	323
9	210	time_input	9.69314
9	210	time_solve	870.567
9	210	compression_ratio	0.118997
9	220	iterations	41
9	220	L_final	228.786
9	220	lanczos_mean	7.57143
9	220	lanczos_min	6
9	220	lanczos_max	10
9	220	lanczos_mean_converged	332.667
9	220	lanczos_min_converged	327
9	220	lanczos_max_converged	337
9	220	time_input	9.46856
9	220	time_solve	946.644
9	220	compression_ratio	0.124636
9	230	iterations	41
9	230	L_final	205.414
9	230	lanczos_mean	7.57143
9	230	lanczos_min	6
9	230	lanczos_max	10
9	230	lanczos_mean_converged	345.889
9	230	lanczos_min_converged	338
9	230	lanczos_max_converged	351
9	230	time_input	9.46154
9	230	time_solve	1003.55
9	230	compression_ratio	0.130276
9	240	iterations	41
9	240	L_final	184.974
9	240	lanczos_mean	7.57143
9	240	lanczos_min	6
9	240	lanczos_max	10
9	240	lanczos_mean_converged	360
9	240	lanczos_min_converged	355
9	240	lanczos_max_converged	364
9	240	time_input	9.44691
9	240	time_solve	1091.49
9	240	compression_ratio	0.135916
9	250	iterations	41
9	250	L_final	166.965
9	250	lanczos_mean	7.57143
9	250	lanczos_min	6
9	250	lanczos_max	10
9	250	lanczos_mean_converged	373
9	250	lanczos_min_converged	367
9	250	lanczos_max_converged	377
9	250	time_input	9.46173
9	250	time_solve	1171.66
9	250	compression_ratio	0.141555
10	160	iterations	87
10	160	L_final	359.794
10	160	lanczos_mean	7.76591
10	160	lanczos_min	6
10	160	lanczos_max	11
10	160	lanczos_mean_converged	247.5
10	160	lanczos_min_converged	244
10	160	lanczos_max_converged	253
10	160	time_input	9.89788
10	160	time_solve	740.031
10	160	compression_ratio	0.0941111
10	170	iterations	87
10	170	L_final	314.339
10	170	lanczos_mean	7.76591
10	170	lanczos_min	6
10	170	lanczos_max	11
10	170	lanczos_mean_converged	261.5
10	170	lanczos_min_converged	256
10	170	lanczos_max_converged	266
10	170	time_input	9.45796
10	170	time_solve	808.931
10	170	compression_ratio	0.0999565
10	180	iterations	87
10	180	L_final	276.136
10	180	lanczos_mean	7.76591
10	180	lanczos_min	6
10	180	lanczos_max	11
10	180	lanczos_mean_converged	275.9
10	180	lanczos_min_converged	273
10	180	lanczos_max_converged	282
10	180	time_input	9.14766
10	180	time_solve	889.603
10	180	compression_ratio	0.105802
10	190	iterations	87
10	190	L_final	243.759
10	190	lanczos_mean	7.76591
10	190	lanczos_min	6
10	190	lanczos_max	11
10	190	lanczos_mean_converged	291.4
10	190	lanczos_min_converged	287
10	190	lanczos_max_converged	295
10	190	time_input	9.45789
10	190	time_solve	977.353
10	190	compression_ratio	0.111647
10	200	iterations	87
10	200	L_final	215.949
10	200	lanczos_mean	7.76591
10	200	lanczos_min	6
10	200	lanczos_max	11
10	200	lanczos_mean_converged	302.3
10	200	lanczos_min_converged	296
10	200	lanczos_max_converged	309
10	200	time_input	10.1599
10	200	time_solve	1031.46
10	200	compression_ratio	0.117493
10	210	iterations	87
10	210	L_final	192.038
10	210	lanczos_mean	7.76591
10	210	lanczos_min	6
10	210	lanczos_max	11
10	210	lanczos_mean_converged	318.3
10	210	lanczos_min_converged	310
10	210	lanczos_max_converged	325
10	210	time_input	9.4977
10	210	time_solve	1124.71
10	210	compression_ratio	0.123338
10	220	iterations	87
10	220	L_final	171.339
10	220	lanczos_mean	7.76591
10	220	lanczos_min	6
10	220	lanczos_max	11
10	220	lanczos_mean_converged	331.3
10	220	lanczos_min_converged	324
10	220	lanczos_max_converged	343
10	220	time_input	9.30436
10	220	time_solve	1198.26
10	220	compression_ratio	0.129184
10	230	iterations	87
10	230	L_final	153.379
10	230	lanczos_mean	7.76591
10	230	lanczos_min	6
10	230	lanczos_max	11
10	230	lanczos_mean_converged	343.9
10	230	lanczos_min_converged	336
10	230	lanczos_max_converged	352
10	230	time_input	12.1902
10	230	time_solve	1277.1
10	230	compression_ratio	0.135029
10	240	iterations	87
10	240	L_final	137.701
10	240	lanczos_mean	7.76591
10	240	lanczos_min	6
10	240	lanczos_max	11
10	240	lanczos_mean_converged	358.1
10	240	lanczos_min_converged	350
10	240	lanczos_max_converged	363
10	240	time_input	8.82548
10	240	time_solve	1371.31
10	240	compression_ratio	0.140874
10	250	iterations	87
10	250	L_final	123.908
10	250	lanczos_mean	7.76591
10	250	lanczos_min	6
10	250	lanczos_max	11
10	250	lanczos_mean_converged	371.7
10	250	lanczos_min_converged	366
10	250	lanczos_max_converged	381
10	250	time_input	7.46254
10	250	time_solve	1464.34
10	250	compression_ratio	0.14672
11	160	L_final	382.006
11	160	lanczos_mean	9.86319
11	160	lanczos_min	6
11	160	lanczos_max	254
11	160	lanczos_mean_converged	0
11	160	lanczos_min_converged	0
11	160	lanczos_max_converged	0
11	160	time_input	7.39619
11	160	time_solve	705.74
11	160	compression_ratio	0.0974237
11	170	L_final	334.244
11	170	lanczos_mean	10.009
11	170	lanczos_min	6
11	170	lanczos_max	268
11	170	lanczos_mean_converged	0
11	170	lanczos_min_converged	0
11	170	lanczos_max_converged	0
11	170	time_input	12.4287
11	170	time_solve	764.148
11	170	compression_ratio	0.103475
11	180	L_final	293.958
11	180	lanczos_mean	10.1467
11	180	lanczos_min	6
11	180	lanczos_max	281
11	180	lanczos_mean_converged	0
11	180	lanczos_min_converged	0
11	180	lanczos_max_converged	0
11	180	time_input	14.944
11	180	time_solve	833.886
11	180	compression_ratio	0.109526
11	190	L_final	259.664
11	190	lanczos_mean	10.2745
11	190	lanczos_min	6
11	190	lanczos_max	295
11	190	lanczos_mean_converged	0
11	190	lanczos_min_converged	0
11	190	lanczos_max_converged	0
11	190	time_input	14.5062
11	190	time_solve	891.61
11	190	compression_ratio	0.115577
11	200	L_final	230.442
11	200	lanczos_mean	10.4077
11	200	lanczos_min	6
11	200	lanczos_max	310
11	200	lanczos_mean_converged	0
11	200	lanczos_min_converged	0
11	200	lanczos_max_converged	0
11	200	time_input	16.0721
11	200	time_solve	948.858
11	200	compression_ratio	0.121628
11	210	L_final	205.291
11	210	lanczos_mean	10.5536
11	210	lanczos_min	6
11	210	lanczos_max	324
11	210	lanczos_mean_converged	0
11	210	lanczos_min_converged	0
11	210	lanczos_max_converged	0
11	210	time_input	9.82405
11	210	time_solve	1039.96
11	210	compression_ratio	0.127679
11	220	L_final	183.518
11	220	lanczos_mean	10.6886
11	220	lanczos_min	6
11	220	lanczos_max	340
11	220	lanczos_mean_converged	0
11	220	lanczos_min_converged	0
11	220	lanczos_max_converged	0
11	220	time_input	9.27601
11	220	time_solve	1119.49
11	220	compression_ratio	0.133731
11	230	L_final	164.537
11	230	lanczos_mean	10.8173
11	230	lanczos_min	6
11	230	lanczos_max	350
11	230	lanczos_mean_converged	0
11	230	lanczos_min_converged	0
11	230	lanczos_max_converged	0
11	230	time_input	11.4428
11	230	time_solve	1188.29
11	230	compression_ratio	0.139782
11	240	L_final	147.884
11	240	lanczos_mean	10.964
11	240	lanczos_min	6
11	240	lanczos_max	370
11	240	lanczos_mean_converged	0
11	240	lanczos_min_converged	0
11	240	lanczos_max_converged	0
11	240	time_input	15.6063
11	240	time_solve	1283.24
11	240	compression_ratio	0.145833
11	250	L_final	133.225
11	250	lanczos_mean	11.0837
11	250	lanczos_min	6
11	250	lanczos_max	385
11	250	lanczos_mean_converged	0
11	250	lanczos_min_converged	0
11	250	lanczos_max_converged	0
11	250	time_input	14.7919
11	250	time_solve	1348.54
11	250	compression_ratio	0.151884
12	160	L_final	338.319
12	160	lanczos_mean	9.81683
12	160	lanczos_min	6
12	160	lanczos_max	256
12	160	lanczos_mean_converged	0
12	160	lanczos_min_converged	0
12	160	lanczos_max_converged	0
12	160	time_input	8.02811
12	160	time_solve	659.683
12	160	compression_ratio	0.100736
12	170	L_final	295.309
12	170	lanczos_mean	9.94967
12	170	lanczos_min	6
12	170	lanczos_max	270
12	170	lanczos_mean_converged	0
12	170	lanczos_min_converged	0
12	170	lanczos_max_converged	0
12	170	time_input	7.92949
12	170	time_solve	718.257
12	170	compression_ratio	0.106993
12	180	L_final	259.329
12	180	lanczos_mean	10.0949
12	180	lanczos_min	6
12	180	lanczos_max	283
12	180	lanczos_mean_converged	0
12	180	lanczos_min_converged	0
12	180	lanczos_max_converged	0
12	180	time_input	11.3965
12	180	time_solve	778.197
12	180	compression_ratio	0.11325
12	190	L_final	228.735
12	190	lanczos_mean	10.2335
12	190	lanczos_min	6
12	190	lanczos_max	303
12	190	lanczos_mean_converged	0
12	190	lanczos_min_converged	0
12	190	lanczos_max_converged	0
12	190	time_input	7.68698
12	190	time_solve	843.625
12	190	compression_ratio	0.119507
12	200	L_final	202.627
12	200	lanczos_mean	10.3696
12	200	lanczos_min	6
12	200	lanczos_max	311
12	200	lanczos_mean_converged	0
12	200	lanczos_min_converged	0
12	200	lanczos_max_converged	0
12	200	time_input	7.71599
12	200	time_solve	908.337
12	200	compression_ratio	0.125764
12	210	L_final	180.09
12	210	lanczos_mean	10.4884
12	210	lanczos_min	6
12	210	lanczos_max	326
12	210	lanczos_mean_converged	0
12	210	lanczos_min_converged	0
12	210	lanczos_max_converged	0
